"DATA_CENTER_URL"	"SHORT_DCNAME"	"LONG_DCNAME"
"http://www.epa.gov/"	"US-EPA"	"US Environment Protection Agency"
"http://www.cf.ac.uk/"	"CF"	"Cardiff University"
"http://www.mit.edu/"	"MIT"	"Massachusetts Institute of Technology"
"http://www.harvard.edu/"	"Harvard"	"Harvard University"
"http://www.ngi.no/english/"	"NGI"	"Norwegian Geotechnical Institute"
"nature.ca"	"CMN"	"Canadian Museum of Nature"
"http://www.luftfartstilsynet.no"	"CAA"	"Civil Aviation Authorities of Norway (Luftfartstilsynet)"
"http://www.noaa.gov/"	"NOAA"	"National Oceanic and Atmospheric Administration"
"http://www.unc.edu/"	"UNC"	"University of North Carolina"
"http://www.gwumc.edu/"	"GWUMC"	"George Washington University Medical Center"
"http://www.efi.int/portal/"	"EFI"	"European Forrest Institute"
"http://www.lancs.ac.uk/"	"LANCS"	"Lancaster University"
"http://www.ntnu.no/vitenskapsmuseet/start"	"VM"	"Museum of Natural History and Archaeology, Trondheim (Vitenskapsmuseet)"
"http://www.mtsn.tn.it/"	"MTSN"	"Trento Museum of Natural Sciences (Museo tridentino di scienze naturali)"
"http://www.mnhn.fr"	"MNHN"	"Museum national d`Histoire naturelle (Muséum National d'Histoire naturelle)"
"http://www.pim.uzh.ch/en/index.php, http://www.uzh.ch/index_en.html"	"UZ"	"University of Zürich, Palaeontological Institute and Museum"
"www.toi.no"	"TOI"	"Institute of Transport Economics, Norwegian Centre for Transport Research"
"www.nmemc.gov.cn"		"National Marine Environment Monitor Center"
"www.ipis.zabrze.pl"	"IPIS"	"Polish Academy of Sciences, Institute of Environmental Engineering"
"www.ustc.edu.cn"		"University of Science and Technology of China"
"http://www.wpafb.af.mil/AFRL/afosr/"	"AFOSR"	"Air Force Research Laboratory"
"http://www.vetinst.no/eng/National-Veterinary-Institute/Departments/Department-for-Fish-and-Shellfish-Health/National-Veterinary-Institute-Harstad-Tromsoe"	"VETINST"	"National veterinarian Institute, Regional Laboratory Tromsø (Veterinærinstitutt)"
